2025-03-31 12:09:27,244 - ERROR - Error initializing Groq client: No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\sit23\.streamlit\secrets.toml, C:\Users\sit23\PycharmProjects\sysmindai\.streamlit\secrets.toml
2025-03-31 12:11:49,730 - INFO - Metrics: CPU=6.5%, RAM=60.1%, Disk=45.1%
2025-03-31 12:11:52,753 - INFO - Metrics: CPU=5.8%, RAM=60.4%, Disk=45.1%
2025-03-31 12:11:55,853 - INFO - Metrics: CPU=8.3%, RAM=60.2%, Disk=45.1%
2025-03-31 12:11:58,876 - INFO - Metrics: CPU=5.7%, RAM=60.0%, Disk=45.1%
2025-03-31 12:12:01,898 - INFO - Metrics: CPU=7.0%, RAM=60.4%, Disk=45.1%
2025-03-31 12:12:04,922 - INFO - Metrics: CPU=8.2%, RAM=60.3%, Disk=45.1%
2025-03-31 12:12:07,944 - INFO - Metrics: CPU=9.7%, RAM=60.6%, Disk=45.1%
2025-03-31 12:12:10,986 - INFO - Metrics: CPU=14.8%, RAM=60.1%, Disk=45.1%
2025-03-31 12:12:14,009 - INFO - Metrics: CPU=8.0%, RAM=60.5%, Disk=45.1%
2025-03-31 12:12:17,032 - INFO - Metrics: CPU=5.8%, RAM=60.3%, Disk=45.1%
2025-03-31 12:12:20,111 - INFO - Metrics: CPU=11.2%, RAM=60.1%, Disk=45.1%
2025-03-31 12:12:23,129 - INFO - Metrics: CPU=8.1%, RAM=60.3%, Disk=45.1%
2025-03-31 12:12:26,147 - INFO - Metrics: CPU=6.0%, RAM=61.3%, Disk=45.1%
2025-03-31 12:12:29,164 - INFO - Metrics: CPU=6.2%, RAM=61.1%, Disk=45.1%
2025-03-31 12:12:32,184 - INFO - Metrics: CPU=6.8%, RAM=60.7%, Disk=45.1%
2025-03-31 12:12:35,250 - INFO - Metrics: CPU=30.2%, RAM=62.2%, Disk=45.1%
2025-03-31 12:12:38,269 - INFO - Metrics: CPU=15.4%, RAM=63.9%, Disk=45.1%
2025-03-31 12:12:41,287 - INFO - Metrics: CPU=10.0%, RAM=60.9%, Disk=45.1%
2025-03-31 12:12:44,358 - INFO - Metrics: CPU=11.3%, RAM=60.5%, Disk=45.1%
2025-03-31 12:12:47,445 - INFO - Metrics: CPU=7.6%, RAM=60.2%, Disk=45.1%
2025-03-31 12:12:50,463 - INFO - Metrics: CPU=5.3%, RAM=60.2%, Disk=45.1%
2025-03-31 12:12:53,481 - INFO - Metrics: CPU=5.7%, RAM=60.4%, Disk=45.1%
2025-03-31 12:12:56,501 - INFO - Metrics: CPU=9.4%, RAM=60.6%, Disk=45.1%
2025-03-31 12:12:59,523 - INFO - Metrics: CPU=9.7%, RAM=60.3%, Disk=45.1%
2025-03-31 12:13:02,543 - INFO - Metrics: CPU=6.8%, RAM=60.3%, Disk=45.1%
2025-03-31 12:13:05,566 - INFO - Metrics: CPU=8.2%, RAM=60.9%, Disk=45.1%
